Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6,Distance7,Beta7,Phi7,Fermi_contact7,Distance8,Beta8,Phi8,Fermi_contact8,Distance9,Beta9,Phi9,Fermi_contact9,Distance10,Beta10,Phi10,Fermi_contact10,Distance11,Beta11,Phi11,Fermi_contact11,Distance12,Beta12,Phi12,Fermi_contact12
7.9148,-0.56354,1.6491,0.00383,5.9275,-0.78243,1.6958,0.1747,3.4808,-0.92871,-1.7585,0.44984,5.586,-0.66126,-1.5966,-0.00976,6.0349,-0.48761,-2.8215,0.01445,4.5097,-0.1843,-2.5897,-0.02081,4.4754,0.21404,-0.71565,-0.03134,6.7946,0.10826,-0.61877,-0.00407,6.4501,-0.81292,-0.27081,0.00971,5.2095,-1.1718,0.021239,0.05963,4.0692,1.1031,-1.5203,0.52123,6.2318,1.3749,-1.4867,0.04641
6.9134,-0.62386,1.3031,0.00739,5.3853,-0.85252,1.6008,0.19855,3.3984,-0.71998,-2.0763,0.2732,5.3936,-0.34827,-2.131,0.01444,7.0403,-0.37332,3.1318,0.00648,5.4296,-0.22294,-2.8466,0.03816,3.9488,0.18521,-0.9229,0.05643,6.2623,0.35961,-1.0418,-0.00126,6.245,-0.80152,-0.77569,-0.00261,4.4752,-1.1587,-0.70174,-0.00982,4.31,1.1453,-2.6118,0.08049,6.463,1.1692,3.0476,-0.01036
3.6145,-0.40326,-1.7482,0.29412,5.9054,-0.38512,-1.9923,0.03111,5.5646,1.0638,-0.084983,0.04648,7.5025,0.98203,-0.55835,0.00297,7.1443,-0.19205,3.137,0.00371,5.5182,-0.14919,-2.8243,0.01999,3.703,0.26321,-0.92555,0.19684,6.162,0.29515,-1.0806,0.008,5.291,-0.68656,-0.62226,-0.00337,4.7774,-1.1584,-0.48477,-0.00592,8.2397,-0.069108,0.013909,-0.00083,6.1419,0.042442,-0.13665,-0.001
7.4504,0.38334,0.79486,0.01142,6.5409,0.40391,1.1583,-0.03686,3.5052,-0.57848,-1.9144,0.28986,5.6941,-0.32648,-1.9215,0.03245,6.0167,1.062,0.27449,0.06905,7.4139,0.95349,-0.27253,0.00076,7.4914,-0.14007,3.1398,0.00052,5.4717,-0.093794,-2.9003,0.00659,3.7164,0.35482,-0.95517,-0.01963,6.0302,0.55499,-0.8441,-0.00541,4.5869,-0.57634,-0.53545,-0.01581,4.4903,-1.1522,-0.56351,-0.04301
6.6167,-0.79361,1.31,0.00845,5.7987,-0.94256,1.8758,0.03804,3.114,-0.19946,-2.2759,-0.29842,5.2634,0.080412,-2.026,-0.00897,8.1829,-0.0599,3.1225,0.00049,5.9103,-0.092464,-3.0128,0.0071,3.6047,0.62961,-0.89377,1.022,5.8998,0.72452,-0.76444,0.02878,5.0447,-0.36365,-0.83074,-0.00482,4.3413,-0.88772,-0.8166,0.06444,7.4325,-0.14832,0.0080709,-0.00294,5.2491,0.062651,-0.12966,0.0161
6.5894,-0.73947,1.1508,0.01452,5.0811,-0.91317,1.5902,0.25348,3.7363,-0.46065,-2.0552,-0.00593,5.6603,-0.20229,-1.8073,0,5.716,1.212,1.2261,0.03863,7.6458,1.2933,0.54912,-0.00021,4.2009,0.48495,-1.1149,0.24325,6.6179,0.70784,-1.1519,0.01766,4.6829,-0.49923,-0.88439,-0.00524,4.3933,-0.86504,-0.34051,-0.02516,5.9677,0.0074409,-0.0067472,-0.01237,5.0563,0.39762,-0.14847,-0.02025
6.342,-0.76144,1.0971,0.01614,5.6981,-0.96849,1.6616,0.06127,3.5323,-0.25924,-2.1532,-0.01212,5.3645,-0.33656,-1.7645,-0.00104,4.8115,0.40206,-1.1388,0.00457,6.2593,0.78514,-1.2463,0.00354,5.31,-0.67369,-1.0282,0.00287,4.9587,-0.93431,-0.37236,-0.0147,5.6563,-0.091619,-0.10023,0.00494,5.1651,0.35286,-0.18306,0.00299,6.1887,1.0527,2.6509,0.11856,7.3647,0.7309,2.559,0.03754
6.6512,-0.69296,1.2845,0.01222,5.4515,-0.82791,1.7412,0.2285,3.1453,-0.37673,-2.0975,0.34814,5.2869,-0.699,-1.9874,-0.01115,4.5856,-0.17752,-1.0057,0.00257,5.003,0.33861,-1.0264,-0.00601,5.9124,-1.0449,-0.87587,-0.00128,5.2514,-0.99977,-0.039372,0.04982,6.1027,-0.34473,0.089936,0.10642,5.4772,0.055985,-0.1354,-0.0029,5.8925,1.345,-3.1262,0.00248,7.0079,1.0226,2.769,0.00822
4.5966,0.4535,-2.9056,-0.03023,7.1596,0.45254,-2.905,-0.00197,3.2645,-0.34822,-2.0395,0.29065,5.3977,-0.66842,-2.1278,-0.00959,5.8984,0.75674,0.07323,0.15493,8.4061,0.81744,0.10119,0.00812,4.552,-0.2649,-0.85034,0.00628,5.1845,0.25739,-0.86995,0.00066,6.272,-0.88764,-0.88129,0.00019,5.408,-1.1047,-0.23157,-0.00063,4.6313,1.3175,2.1519,-0.04486,6.6686,1.0834,2.5847,0.00258
6.7889,-0.5264,1.1659,-0.00831,5.6076,-0.85473,1.4242,0.11544,3.1155,-0.3295,-1.9972,0.20119,5.2439,-0.64003,-2.0469,-0.02212,7.3039,-0.19444,-3.0174,0.00041,5.4026,-0.4619,-3.0507,0.02849,4.0555,0.18129,-0.73065,0.00947,6.2407,0.42501,-0.73171,-0.00396,5.4255,-0.7483,-0.84218,-0.00116,4.6447,-1.0681,-0.2816,-0.0368,5.2296,0.41878,-1.7059,0.00418,7.3968,0.31007,-1.509,0.00036
