Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6
5.879,-0.63641,1.5187,-0.00395,4.5595,-0.47288,-2.1676,0.04869,4.1734,0.12773,-0.86017,-0.00245,5.7185,-0.92573,-0.48495,0.00361,6.1337,-0.10078,0.044846,-0.00381,5.939,1.1513,2.5512,0.00027
5.9489,0.59149,-2.9233,0.0077,4.6531,-0.41686,-2.1731,0.09305,7.1296,0.87521,-0.015203,0.04174,4.2702,0.038987,-0.72183,-0.00556,6.0005,-0.9094,-0.4894,0.0001,5.5013,1.089,2.2578,0.02301
6.0699,-0.61257,1.3855,-0.00088,4.4741,-0.39218,-2.1635,0.00869,6.8456,-0.38636,-3.0331,0.01184,4.9391,0.41395,-0.60234,-0.00028,5.2664,-0.82609,-0.46447,-0.00019,5.9809,0.23596,-1.5629,0.0009
6.2184,0.32345,-2.8797,-0.00093,5.1825,-0.45172,-2.4942,0.02409,4.5146,0.65144,-0.68449,-0.04533,4.3708,-0.89758,-0.75338,0.0026,6.1818,0.001081,0.084123,-0.00415,5.3353,0.23513,-1.851,3e-05
6.793,0.122,-3.0047,0.00299,6.0454,-0.68406,-2.6973,0.0008,6.3692,1.4363,1.1874,-0.00075,4.5526,0.90659,-0.96187,-0.00554,3.8683,-0.86259,-0.73362,0.11317,5.2547,-0.015422,-0.041024,-0.00126
6.5692,-0.72129,-3.0695,-0.00013,5.8772,1.427,2.0977,-0.00534,4.5452,0.92137,-1.4407,-0.0185,4.3321,-1.0618,-1.1209,-0.00775,4.9925,-0.19049,-0.37231,0.00022,5.5258,-0.22576,-2.3915,2e-05
7.2123,0.17101,2.9995,7e-05,6.0707,-0.69127,3.1034,0.00145,6.1621,1.4333,0.39745,0.00189,4.211,0.96092,-1.2017,-0.11285,4.06,-1.0947,-0.8388,-0.02153,5.3571,-0.24509,-2.2811,-0.00046
5.805,-0.54368,-3.1371,-0.002,7.1814,1.0685,0.35456,-0.00047,4.1594,0.67783,-0.94468,-0.06109,4.03,-1.1538,-1.1343,0.09637,5.7567,-0.28674,-0.32107,0.00271,4.9849,0.025366,-2.3317,-0.02482
7.1547,0.46046,-3.0796,0.01645,5.9643,-0.37757,-3.0902,0.00103,7.4394,0.74673,0.12681,0.01294,4.4034,0.42181,-0.82877,-0.01377,4.9032,-1.3811,-1.5566,0.00775,4.8485,0.09473,-2.2963,-0.08216
6.6887,0.49656,-2.9205,0.04507,6.4531,-0.6678,1.6029,-0.00077,6.0353,-0.17973,-2.9138,0.00141,3.9787,0.38994,-0.68353,0.00482,5.482,-1.443,-1.3611,-0.00874,5.1306,0.08619,-2.0283,-0.017
